,year,ncs,cs,demo
0,2002,41281.0,171.0,women
1,2003,43718.0,168.0,women
2,2004,46737.0,201.0,women
3,2005,51621.0,215.0,women
4,2006,55265.0,307.0,women
5,2007,61121.0,329.0,women
6,2008,62164.0,374.0,women
7,2009,62511.0,351.0,women
8,2010,56651.0,337.0,women
9,2011,58950.0,314.0,women
10,2012,61774.0,362.0,women
11,2013,64489.0,351.0,women
12,2014,67433.0,403.0,women
13,2015,69039.0,439.0,women
14,2016,69968.0,390.0,women
15,2017,71639.0,439.0,women
16,2018,73371.0,427.0,women
17,2019,74873.0,497.0,women
18,2020,75477.0,537.0,women
19,2020,75593.0,537.0,women
20,2021,75842.0,642.0,women
21,2022,83856.0,710.0,women
0,2002,4553.0,21.0,black
1,2003,4785.0,17.0,black
2,2004,5506.0,18.0,black
3,2005,5827.0,19.0,black
4,2006,5827.0,21.0,black
5,2007,6928.0,30.0,black
6,2008,196.0,0.0,black
7,2009,1199.0,3.0,black
8,2010,3284.0,14.0,black
9,2011,7509.0,31.0,black
10,2012,8209.0,39.0,black
11,2013,8709.0,53.0,black
12,2014,9580.0,52.0,black
13,2015,10067.0,57.0,black
14,2016,10493.0,69.0,black
15,2017,11387.0,63.0,black
16,2018,11537.0,55.0,black
17,2019,12346.0,64.0,black
18,2020,12472.0,86.0,black
19,2020,12478.0,86.0,black
20,2021,14268.0,116.0,black
21,2022,15308.0,124.0,black
0,2002,3001.0,19.0,hispanic
1,2003,3261.0,11.0,hispanic
2,2004,3508.0,18.0,hispanic
3,2005,3851.0,17.0,hispanic
4,2006,4006.0,6.0,hispanic
5,2007,4309.0,17.0,hispanic
6,2008,540.0,0.0,hispanic
7,2009,845.0,3.0,hispanic
8,2010,2198.0,8.0,hispanic
9,2011,4909.0,19.0,hispanic
10,2012,5416.0,26.0,hispanic
11,2013,5890.0,40.0,hispanic
12,2014,6473.0,31.0,hispanic
13,2015,7080.0,42.0,hispanic
14,2016,7788.0,36.0,hispanic
15,2017,8056.0,46.0,hispanic
16,2018,8226.0,48.0,hispanic
17,2019,8758.0,36.0,hispanic
18,2020,8733.0,47.0,hispanic
19,2020,8751.0,47.0,hispanic
20,2021,9450.0,66.0,hispanic
21,2022,11111.0,67.0,hispanic
0,2002,349.0,1.0,native
1,2003,369.0,1.0,native
2,2004,407.0,1.0,native
3,2005,452.0,0.0,native
4,2006,424.0,6.0,native
5,2007,461.0,3.0,native
6,2008,20.0,0.0,native
7,2009,104.0,0.0,native
8,2010,245.0,1.0,native
9,2011,463.0,3.0,native
10,2012,470.0,2.0,native
11,2013,526.0,0.0,native
12,2014,491.0,7.0,native
13,2015,526.0,4.0,native
14,2016,497.0,1.0,native
15,2017,503.0,3.0,native
16,2018,501.0,3.0,native
17,2019,466.0,2.0,native
18,2020,418.0,2.0,native
19,2020,418.0,2.0,native
20,2021,426.0,0.0,native
21,2022,474.0,2.0,native
