,year,ncs,cs,demo
0,2009,0.5808643942986806,0.27699875492417286,women
1,2007,0.582399520027671,0.2709134453214599,women
2,2017,0.5821078766748402,0.2514230881826757,women
3,2013,0.5817368773954289,0.223514326928214,women
4,2019,0.5829255821801145,0.20678421631306756,women
5,2004,0.5805114069939797,0.18638446834481012,women
6,2014,0.5792842532427026,0.1778454261849653,women
7,2010,0.5781415382129172,0.17971625085657725,women
8,2005,0.5773530908660439,0.1828765284455617,women
9,2015,0.57834344492827,0.17796686273629383,women
10,2011,0.5788932212658829,0.18424104327304539,women
11,2008,0.5786547224322804,0.18030712275466068,women
12,2006,0.5780089497896702,0.18265829807892364,women
13,2016,0.5783055258820099,0.1822857050734334,women
14,2018,0.57955032415833,0.1906768970481293,women
15,2012,0.5803922490494721,0.19514611193660228,women
16,2002,0.5820099487474845,0.2047618477310562,women
17,2020,0.5829869163053432,0.2104728451769792,women
18,2003,0.5872971076649977,0.2182435758590135,women
0,2009,0.08280011654688031,0.09776906905068071,black
1,2007,0.0841204172570834,0.10362274843149161,black
2,2017,0.08496871989666345,0.10272257099177048,black
3,2013,0.08551575705901343,0.10734956280163126,black
4,2019,0.0864582137131412,0.10803436901901699,black
5,2004,0.0867808368359111,0.10640012896985329,black
6,2014,0.00498615160749073,0.0067927946060179125,black
7,2010,0.014329565449102667,0.02007563259815741,black
8,2005,0.043801202284288306,0.05220511068264467,black
9,2015,0.0901871374309201,0.1000179605765345,black
10,2011,0.09296911677032826,0.09964803775964845,black
11,2008,0.0938051564449098,0.10471639310201537,black
12,2006,0.09312479055013204,0.09568971495942853,black
13,2016,0.09307135939615657,0.09324670718534879,black
14,2018,0.09322816976598898,0.08496460426529734,black
15,2012,0.09292658302363274,0.08232601100357416,black
16,2002,0.09199484404094302,0.08000287435476723,black
17,2020,0.0909272656964997,0.08033504458254526,black
18,2003,0.09034164592422199,0.07722752781333071,black
0,2009,0.07259708136697496,0.05272181740248607,hispanic
1,2007,0.0736502023726746,0.061239290292113606,hispanic
2,2017,0.07457520087135476,0.06194906157499268,hispanic
3,2013,0.07626929794789865,0.064092746603031,hispanic
4,2019,0.07797226372619652,0.06896200675978337,hispanic
5,2004,0.08026696139317478,0.06929826581607977,hispanic
6,2014,0.005852474909487929,0.00621414913957935,hispanic
7,2010,0.014026261215349868,0.018984289738839116,hispanic
8,2005,0.03472833680550455,0.03751250823713177,hispanic
9,2015,0.09201819090144768,0.08044093215392215,hispanic
10,2011,0.09701776415946364,0.08652574613960491,hispanic
11,2008,0.1042607565974444,0.09070132028785675,hispanic
12,2006,0.11137428187705847,0.09610583258200985,hispanic
13,2016,0.11817354097507145,0.0969868932273614,hispanic
14,2018,0.12555760038425404,0.10007272079666375,hispanic
15,2012,0.13214952900288776,0.10462765886242854,hispanic
16,2002,0.13826065447602964,0.10352467753332455,hispanic
17,2020,0.1443453573103419,0.10670629559578493,hispanic
18,2003,0.15056057826828934,0.1087132027173378,hispanic
0,2009,0.006597412348267846,0.004572081725960852,native
1,2007,0.006812062792109494,0.004806719287593604,native
2,2017,0.006983631994920746,0.00736753082002407,native
3,2013,0.006619372035462695,0.005111035919719338,native
4,2019,0.00679581691262182,0.005701022111821477,native
5,2004,0.00686473044146969,0.005872734391193201,native
6,2014,0.0002428261310129136,0.00025158498540807085,native
7,2010,0.0018251725878327175,0.00162432425572955,native
8,2005,0.003727363560664779,0.0030019769116247283,native
9,2015,0.006354686023623137,0.005096313591666292,native
10,2011,0.005853082848956266,0.004760645331922771,native
11,2008,0.005716427846612245,0.005080936101089851,native
12,2006,0.005321875671068451,0.004906720299604688,native
13,2016,0.004973311449250929,0.004594625094713763,native
14,2018,0.004751383994344753,0.0034134251495228627,native
15,2012,0.004598432384874515,0.0034402902159217166,native
16,2002,0.0043623997986361514,0.003065978418386289,native
17,2020,0.004299054647998609,0.0027343961091596865,native
18,2003,0.0042353856249535745,0.002599192675002461,native
